title,abstract
The Variation Characteristics of Asian Surface Temperature and Precipitation in the Early st Century,Based on the analysis of the feature of Asian continent becoming cold in the early st century winter under the background of global warming the Asian Warming Hole AWH index is proposed in this paper to measure the intensity during the cold events process Result shows that the Asian continent is indeed experiencing a cold stage in the early st century winter but it is just in a cold phase and will become warmer in the future In recent years the activity of the winter cold events has an obvious quasifouryear cycle which can be reflected by atmospheric circulation and AO Arctic Oscillation may play a very important role It is credible that Asian surface temperature will be higher in the coming years compared with winter signifying that the precipitation may increase correspondingly
A Systematic Evaluation Model for Solar Cell Technologies,Fossil fuels including coal petroleum natural gas and nuclear energy are the primary electricity sources currently However with depletion of fossil fuels global warming nuclear crisis and increasing environmental consciousness the demand for renewable energy resources has skyrocketed Solar energy is one of the most popular renewable energy resources for meeting global energy demands Even though there are abundant studies on various solar technology developments there is a lack of studies on solar technology evaluation and selection Therefore this research develops a model using interpretive structural modeling ISM benefits opportunities costs and risks concept BOCR and fuzzy analytic network process FANP to aggregate experts opinions in evaluating current available solar cell technology A case study in a photovoltaics PV firm is used to examine the practicality of the proposed model in selecting the most suitable technology for the firm in manufacturing new products
Dengue FeverAssociated Maculopathy and Panuveitis in Australia,Purpose To describe a case of dengue feverassociated maculopathy and panuveitis to raise awareness of these ophthalmic complications of dengue in Australia in the light of recent increasing numbers of outbreaks from equatorial through to tropical Australia Case Report A yearold Caucasian Australian male returning from Cambodia presented with a bilateral dengue feverassociated maculopathy with left panuveitis diagnosed clinically and haematologically Automated perimetry revealed bilateral paracentral scotomas while optical coherence tomography demonstrated the maculopathies to be of the diffuse retinal thickening type in the right eye and acute macular neuroretinopathy AMN type in the left eye He was treated conservatively with only topical steroids and cycloplegia and made a full clinical visual recovery Conclusion Our case study underscores the importance of the awareness of the ophthalmic complications of dengue fever as despite their rarity they can be potentially sight threatening The incidence of these complications is likely to rise in Australia with increased global warming and the distribution of Aedes aegypti into subtropical Australia
Integrating Greenhouse Gas Emissions Costs in Lifecycle Loss Evaluations A Case Study for Transmission Lines,Considering the investment volume in the electrical energy infrastructure and the increasing awareness for global warming and climate change this paper aims to deliver an enhanced transmission line losses evaluation method that integrates true environment financial figures The enormous volume of transmission lines utilized in power systems across the world provides a considerable potential for energy savings by adopting the idea of “energyefficient transmission lines” In this paper the total owning cost TOC formula with builtin environmental components is used to assess the relative economic benefit of a highfirstcost lowloss transmission line unit versus one with a lower first cost and higher losses The proposed methodology is applied on the Cyprus Power System by incorporating true financial data and system characteristics
Comparative Thermal Analysis of Different Cool Roof Materials for Minimizing Building Energy Consumption,The roof and walls in the urban areas contribute to major share in the absorption of solar radiations and also retard the outflow of the absorbed radiation from the building envelope thereby increasing the global warming by inducing the heat island effect The impact of using cool roof technologies on the thermal comfort of the office buildings has been estimated Cool roofs reduce electricity consumption for maintaining the temperature of the airconditioned buildings in the comfort level and also increase comfort in buildings merely not relying completely on cooling equipment The cool roofs and cool pavements however can mitigate summer urban heat islands by improving indoor air quality and comfort The thermal analysis of different materials has been carried out to analyze the impact of the rate of heat transfer on the building envelope and the results obtained indicate that different cool roof techniques are beneficial in maintaining the comfort level of the building which purely depends on the ambient temperature conditions
Carbon Dioxide Separation from Flue Gases A Technological Review Emphasizing Reduction in Greenhouse Gas Emissions,Increasing concentrations of greenhouse gases GHGs such as CO in the atmosphere is a global warming Human activities are a major cause of increased CO concentration in atmosphere as in recent decade twothird of greenhouse effect was caused by human activities Carbon capture and storage CCS is a major strategy that can be used to reduce GHGs emission There are three methods for CCS precombustion capture oxyfuel process and postcombustion capture Among them postcombustion capture is the most important one because it offers flexibility and it can be easily added to the operational units Various technologies are used for CO capture some of them include absorption adsorption cryogenic distillation and membrane separation In this paper various technologies for postcombustion are compared and the best condition for using each technology is identified
Forest Monitoring and Wildland Early Fire Detection by a Hierarchical Wireless Sensor Network,A wildland fire is an uncontrolled fire that occurs mainly in forest areas although it can also invade urban or agricultural areas Among the main causes of wildfires human factors either intentional or accidental are the most usual ones The number and impact of forest fires are expected to grow as a consequence of the global warming In order to fight against these disasters it is necessary to adopt a comprehensive multifaceted approach that enables a continuous situational awareness and instant responsiveness This paper describes a hierarchical wireless sensor network aimed at early fire detection in risky areas integrated with the fire fighting command centres geographical information systems and fire simulators This configuration has been successfully tested in two fire simulations involving all the key players in fire fighting operations fire brigades communication systems and aerial coordination and land means
Climate Change Is Increasing the Risk of the Reemergence of Malaria in Romania,The climatic modifications lead to global warming favouring the risk of the appearance and development of diseases are considered until now tropical diseases Another important factor is the workers immigration the economic crisis favouring the passive transmission of new species of culicidae from different areas Malaria is the disease with the widest distribution in the globe Millions of people are infected every year in Africa India SouthEast Asia Middle East and Central and South America with more than of the global population under the risk of infestation with malaria The increase of the number of local cases reported in – indicates that the conditions can favour the high local transmission in the affected areas In the situation presented the establishment of the level of risk concerning the reemergence of malaria in Romania becomes a priority
Decentralized Autonomous Hybrid Renewable Power Generation,Power extension of grid to isolated regions is associated with technical and economical issues It has encouraged exploration and exploitation of decentralized power generation using renewable energy sources RES RES based power generation involves uncertain availability of power source round the clock This problem has been overcome to certain extent by installing appropriate integrated energy storage unit ESU This paper presents technical review of hybrid wind and photovoltaic PV generation in standalone mode Associated components like converters storage unit controllers and optimization techniques affect overall generation Wind and PV energy are readily available omnipresent and expected to contribute major future energy market It can serve to overcome global warming problem arising due to emissions in fossil fuel based thermal generation units This paper includes the study of progressive development of standalone renewable generation units based on wind and PV microgrids
Life Cycle Impact of Rare Earth Elements,The diverse properties of rare earth elements have seen broad and growing applications in clean energy technologies hybrid vehicles pollution control optics refrigeration and so on This study presents a “cradletogate” life cycle assessment of the energy use resource depletion and global warming potential resulting from the production of rare earth elements REEs using the Bayan Obo rare earth operation in Inner Mongolia China as a representative system The study aggregates data from the literature LCI databases and reasonable estimations A novel economic valuebased allocation method for the multiple coproducts of the process is proposed It is found that four of the high priced REEs scandium europium terbium and dysprosium have very high GWPs from production relative to the rest A massbased allocation is also provided for comparison Impacts on immediate local environment from waste streams that can be toxic are not included in this study
Comparison of Power Plants Efficiency among Countries,Effective and efficient production of electricity is promised to be one of the critical factors to utilize energy for sustainable development We employ data envelopment analysis DEA including undesirable CO emissions outputs to evaluate power plants resource utilization efficiency within countries in order to incorporate the global warming effect We find that Asia enjoys the highest technical efficiency and European countries suffer from the lowest technical efficiency among Europe Asia and America continents Besides we compare models with and without CO emissions and find that they have significant differences among technical and pure technical efficiencies We also set up three hypotheses to examine gross national product GNP urbanization and electricity import level factors that potentially influence power plants efficiency by Tobit regression analysis Results show that GNP and urbanization have significant effects on power plants efficiency except electricity import level
LifeCycleBased Multicriteria Sustainability Evaluation of Industrial Parks A Case Study in China,Along with increasing concerns on environmental protection and global warming mitigation new industrial organization modes such as “Ecoindustrial Park” and “Low Carbon Industrial Park” are emerging Since ecoindustrial parks and low carbon industrial parks may offer multifaceted benefits to the users it naturally follows that the sustainability assessment of the industrial parks ought to adopt a multicriteria methodology In this paper a multicriteria sustainable evaluation framework is proposed in combination with the life cycle analysis and applied to a low carbon and high end industrial park LCHE in Beijing China Results show that the LCHE industrial park can contribute to both energysaving and greenhouse gas emission mitigations compared with other industrial parks In terms of economic performance although the economic profits are considerable the investment per constructed area is relatively high The results of sustainable analysis of the LCHE industrial park can thus shed light on future upgrading of industrial parks
Policy Considerations for Using Forests to Mitigate Carbon Dioxide Emissions,A recent article in Nature “Soil Fertility Limits Carbon Sequestration by Forest Ecosystems in a COEnriched Atmosphere” by Oren and colleagues[] has been widely reported on and often misinterpreted by the press The article dampens enthusiasm for accelerated forest growth due to CO fertilization and puts in question the fringe theory that the worlds forests can provide an automatic mitigation feedback We agree that these results increase our understanding of the global carbon cycle At the same time their relevance in the context of the international climate change negotiations is much more complicated than portrayed by newspapers such as the New York Times “Role of Trees in Curbing Greenhouse Gases is Challenged” May and the Christian Science Monitor “Trees No Savior for Global Warming” May 
Impact of the AirConditioning System on the Power Consumption of an Electric Vehicle Powered by LithiumIon Battery,The car occupies the daily universe of our society however noise pollution global warming gas emissions and increased fuel consumption are constantly increasing The electric vehicle is one of the recommended solutions by the raison of its zero emission Heating and airconditioning HVAC system is a part of the power system of the vehicle when the purpose is to provide complete thermal comfort for its occupants however it requires far more energy than any other car accessory Electric vehicles have a lowenergy storage capacity and HVAC may consume a substantial amount of the total energy stored considerably reducing the vehicle range which is one of the most important parameters for EV acceptability The basic goal of this paper is to simulate the airconditioning system impact on the power energy source of an electric vehicle powered by a lithiumion battery 
Reducing the Environmental Impact of Dietary Choice Perspectives from a Behavioural and Social Change Approach,Climate change is recognised as a significant public health issue that will impact on food security One of the major contributors to global warming is the livestock industry and relative to plantbased agriculture meat production has a much higher environmental impact in relation to freshwater use amount of land required and waste products generated Promoting increased consumption of plantbased foods is a recommended strategy to reduce human impact on the environment and is also now recognised as a potential strategy to reduce the high rates of some chronic diseases such as cardiovascular disease and certain cancers Currently there is a scant evidence base for policies and programs aiming to increase consumption of plantbased diets and little research on the necessary conditions for that change to occur and the processes involved in such a change This paper reviews some of the environmental and health consequences of current dietary practices reviews literature on the determinants of consuming a plantbased diet and provides recommendations for further research in this area
Application of General Circulation Models to Assess the Potential Impact of Climate Change on Potential Distribution and Relative Abundance of Melanoplus sanguinipes Fabricius Orthoptera Acrididae in North America,Climate is the dominant factor determining the distribution and abundance of most insect species In recent years the issue of climatic changes caused by human activities and the effects on agriculture has raised concern General circulation model scenarios were applied to a bioclimatic model of Melanoplus sanguinipes to assess the potential impact of global warming on its distribution and relative abundance Native to North America and widely distributed M sanguinipes is one of the grasshopper species of the continent most responsible for economic damage to grain oilseed pulse and forage crops Compared to predicted range and distribution under current climate conditions model results indicated that M sanguinipes would have increased range and relative abundance under the three general circulation model scenarios in more northern regions of North America Conversely model output predicted that the range of this crop pest could contract in regions where climate conditions became limiting
Empirical mode decomposition analysis of climate changes with special reference to rainfall data,We have used empirical mode decomposition EMD method which is especially well fitted for analyzing timeseries data representing nonstationary and nonlinear processes This method could decompose any timevarying data into a finite set of functions called “intrinsic mode functions” IMFs The EMD analysis successively extracts the IMFs with the highest local temporal frequencies in a recursive way The extracted IMFs represent a set of successive lowpass spatial filters based entirely on the properties exhibited by the data The IMFs are mutually orthogonal and more effective in isolating physical processes of various time scales The results showed that most of the IMFs have normal distribution Therefore the energy density distribution of IMF samples satisfies χdistribution which is statistically significant This study suggested that the recent global warming along with decadal climate variability contributes not only to the more extreme warm events but also to more frequent long lasting drought and flood
Developing a Collaborative Planning Framework for Sustainable Transportation,Currently as being the highest petroleum consuming sector in the world transportation significantly contributes to the total greenhouse gas emissions in the world Road transportation not only is responsible for approximately of the total emissions of carbon dioxide in the EU and in the US but also has a steadily increasing trend in contributing to global warming Initiatives undertaken by authorities such as Emission cap and trade in the EU limit the emissions resulted from the actions of the companies and also give economic incentives to companies to reduce their emissions However in logistics systems with multiple entities it is difficult to assess the responsibilities of the companies both in terms of costs and emissions In this study we consider a delivery network with multiple customers served by a single carrier which executes a delivery plan with the minimum transportation cost and allocate the resulting costs and the emissions among the customers in a fair manner We develop allocation mechanisms for both costs and emissions In order to develop a mechanism that provides further reduction of the emissions we study a setting where the carrier takes the responsibility of the emissions and reflects the resulting inefficiencies while charging the customers
Assessment of Wave Energy in the South China Sea Based on GIS Technology,China is now the worlds largest user of coal and also has the highest greenhouse gas emissions associated with the mining and use of coal Under todays enormous pressures of the growing shortage of conventional energy sources and the need for emission reductions the search for clean energy is the most effective strategy to address the energy crisis and global warming This study utilized satellite remote sensing technology geographic information system GIS technology and simulated wave data for the South China Sea The characteristic features of the wave energy were obtained by analysis through the wave resource assessment formula and the results were stored in a GIS database Software for the evaluation of wave energy in the South China Sea was written The results should provide accurate efficient references for wave energy researchers and decisionmakers Based on a year WW model simulation wave data and GIS technology this study presented the characteristic of the wave energy in the SCS results demonstrated that the SCS has the feasibility and viability for wave energy farming
Accumulation of Soil Carbon and Phosphorus Contents of a Rehabilitated Forest,The worlds tropical rainforests are decreasing at an alarming rate as they are converted to agricultural land pasture and plantations Decreasing tropical forests affect global warming As a result afforestation progams have been suggested to mitigate this problem The objective of this study was to determine the carbon and phosphorus accumulation of a rehabilitated forest of different ages The size of the study area was ha Soil samples were collected from the and yearold rehabilitated forest Twenty samples were taken randomly with a soil auger at depths of – and – cm The procedures outlined in the Materials and Methods section were used to analyze the soil samples for pH total C organic matter total P CP ratio yield of humic acid HA and cation exchange capacity CEC The soil pH decreased significantly with increasing age of forest rehabilitation regardless of depth Age did not affect CEC of the rehabilitated forest Soil organic matter SOM total C and total P contents increased with age However CP ratio decreased with time at – cm Accumulation of HA with time and soil depth was not consistent The rehabilitated forest has shown signs of being a C and P sink
The Elements of Water Balance in the Changing Climate in Poland,Strong global warming has been observed in the last three decades Central Europe including Poland is not an exception Moreover climate projections for Poland foresee further warming as well as changes in the spatial and seasonal distribution and quantity of precipitation However climate models do not agree on the sign of change of precipitation In Poland precipitation is projected to decrease in summer this finding is not robust being modeldependent and to increase in winter Therefore there is still considerable uncertainty regarding likely climate change impacts on water resources in Poland However there is no doubt that changes in the thermal characteristics as well as in precipitation will influence changes in the water balance of the country In this study the components of climatic water balance that is precipitation evaporation and runoff are calculated for the average conditions in the control period of – and in the future – in Poland The changes of the water balance components for the present and for the future are compared and analysed Due to insufficient consistency between climate models a possible range of changes should be presented hence the multimodel projections from ENSEMBLES Project of the European Union are used in this study
Ecological Network Analysis for a LowCarbon and HighTech Industrial Park,Industrial sector is one of the indispensable contributors in global warming Even if the occurrence of ecoindustrial parks EIPs seems to be a good improvement in saving ecological crises there is still a lack of definitional clarity and indepth researches on lowcarbon industrial parks In order to reveal the processes of carbon metabolism in a lowcarbon hightech industrial park we selected Beijing Development Area BDA International Business Park in Beijing China as case study establishing a sevencompartment model lowcarbon metabolic network based on the methodology of Ecological Network Analysis ENA Integrating the Network Utility Analysis NUA Network Control Analysis NCA and systemwide indicators we compartmentalized system sectors into ecological structure and analyzed dependence and control degree based on carbon metabolism The results suggest that indirect flows reveal more mutuality and exploitation relation between system compartments and they are prone to positive sides for the stability of the whole system The ecological structure develops well as an approximate pyramidal structure and the carbon metabolism of BDA proves selfmutualistic and sustainable Construction and waste management were found to be two active sectors impacting carbon metabolism which was mainly regulated by internal and external environment
Response of Soil CO Emission and Summer Maize Yield to Plant Density and Straw Mulching in the North China Plain,Demand for food security and the current global warming situation make high and strict demands on the North China Plain for both food production and the inhibition of agricultural carbon emissions To explore the most effective way to decrease soil CO emissions and maintain high grain yield studies were conducted during the and summer maize growing seasons to assess the effects of wheat straw mulching on the soil CO emissions and grain yield of summer maize by adding and  kg m− to fields with plant densities of     and   plants ha− The study indicated that straw mulching had some positive effects on summer maize grain yield by improving the kernel weight Meanwhile straw mulching effectively controlled the soil respiration rate and cumulative CO emission flux particularly in fields planted at a density of   plants ha− which achieved maximum grain yield and minimum carbon emission per unit yield In addition soil microbial biomass and microbial activity were significantly higher in mulching treatments than in nonmulching treatments Consequently summer maize with straw mulching at   plants ha− is an environmentally friendly option in the North China Plain
Nanotechnological Advances in Catalytic Thin Films for Green LargeArea Surfaces,Largearea catalytic thin films offer great potential for green technology applications in order to save energy combat pollution and reduce global warming These films either embedded with nanoparticles shaped with nanostructuring techniques hybridized with other systems or functionalized with bionanotechnological methods can include many different surface properties including photocatalytic antifouling abrasion resistant and mechanically resistive selfcleaning antibacterial hydrophobic and oleophobic features Thus surface functionalization with such advanced structuring methods is of significance to increase the performance and wide usage of largearea thin film coatings specifically for environmental remediation In this review we focus on methods to increase the efficiency of catalytic reactions in thin film and hence improve the performance in relevant applications while eliminating high cost with the purpose of widespread usage However we also include the most recent hybrid architectures which have potential to make a transformational change in surface applications as soon as high quality and large area production techniques are available Hence we present and discuss research studies regarding both organic and inorganic methods that are used to structure thin films that have potential for largearea and ecofriendly coatings
A Novel Method for Technology Forecasting and Developing R&D Strategy of Building Integrated Photovoltaic Technology Industry,Because of global warming renewable energy technologies have become more essential currently with solar energy technology advancing worldwide Therefore interdisciplinary integration is an important trend and buildingintegrated photovoltaic BIPV is an emerging technology involving the photovoltaic and building fields The purpose of this study is to understand the technology evolution of BIPV and to determine the R&D planning direction This paper proposes a hybrid approach to explore the life cycle of BIPV technology and develop the R&D strategy of related industries The proposed approach comprises the following submodules First patent analysis is employed to transform patent documents into structured data Second the logistic growth model is used to explore the life cycle of BIPV technology Third a patent matrix map analysis is used to develop the R&D strategy of the BIPV industry Through the analysis by the logistic model the BIPV technology is transformed from the emerging stage to the growth stage of a longterm life cycle The other important result is created by the threedimensional matrix for R&D strategies in this paper
Effects of Lateral Window Position and Wind Direction on WindDriven Natural Cross Ventilation of a Building A Computational Approach,Energy is saved when an effective natural ventilation system can provide comfort air to the occupants in a building by replacing a mechanical ventilation system It also minimizes the risk of the environmental pollution and the global warming A one story full scale building was considered to carry out a comparative study of three different cases of winddriven natural WDN cross ventilation with the help of computational fluid dynamics CFD In each case the location of window was changed in lateral direction to predict the probable position for optimum ventilation performance and the angle of wind was varied to check the sensitivity of the wind direction on the flow field After validating the current methodology through two satisfactory comparisons with the experimental investigations the governing equations subjected to the corresponding boundary conditions were solved using commercial software and then the results were analyzed A better location for the windows in each case was proposed The ventilation purpose was served quite well even if the wind angle was changed in a moderate range from the original design Furthermore the velocity components ventilation rate surface pressure ventilation time and so forth in each case were investigated and compared extensively with those in other cases
The Impact of Urbanization on the Annual Average Temperature of the Past Years in Beijing,Global warming which is representatively caused by CObased greenhouse gases has caused widespread concern in the global scientific community and gets the high attention of each government in the world Human activities impact climate change through greenhouse gas emissions and land use changes The current study on the impact of urbanization on the annual average temperature of the recent years in Beijing was conducted using – temperature data Anomaly analysis quadratic polynomial trend method and moving average method were employed to indicate the temporal variation of temperature The results showed that average temperature increased both in urban and rural areas The temperature of urban Beijing increased during the period from to especially from to The temperature of rural Beijing showed a faster increase than that of the urban area from to However the rate of temperature increase slowed down in recent years This type of change was temporally consistent with the process of land use change and urbanization in Beijing Economic restructuring and improvement of urban planning may have been one of the reasons that the regional warming has been slowed down in the rural area
"Natural Gas Production from Methane Hydrate Deposits Using 



Clathrate Sequestration StateoftheArt Review and New Technical Approaches",This paper focuses on reviewing the currently available solutions for natural gas production from methane hydrate deposits using CO sequestration Methane hydrates are icelike materials which form at low temperature and high pressure and are located in permafrost areas and oceanic environments They represent a huge hydrocarbon resource which could supply the entire world for centuries Fossilfuelbased energy is still a major source of carbon dioxide emissions which contribute greatly to the issue of global warming and climate change Geological sequestration of carbon dioxide appears as the safest and most stable way to reduce such emissions for it involves the trapping of CO into hydrocarbon reservoirs and aquifers Indeed CO can also be sequestered as hydrates while helping dissociate the in situ methane hydrates The studies presented here investigate the molecular exchange between CO and CH that occurs when methane hydrates are exposed to CO thus generating the release of natural gas and the trapping of carbon dioxide as gas clathrate These projects include laboratory studies on the synthesis thermodynamics phase equilibrium kinetics cage occupancy and the methane recovery potential of the mixed CO–CH hydrate An experimental and numerical evaluation of the effect of porous media on the gas exchange is described Finally a few field studies on the potential of this new gas hydrate recovery technique are presented
Properties and Internal Curing of Concrete Containing Recycled Autoclaved Aerated Lightweight Concrete as Aggregate,Global warming is a vital issue addressed to every sector worldwide including the construction industry To achieve the concept of green technology many attempts have been carried out to develop lowcarbon footprint products In the construction sector Autoclaved Aerated Concrete AAC has become more popular and been manufactured to meet the construction demand However errors from manufacturing process accounted for approximately to of the AAC production The development of AAC waste as lightweight aggregate in concrete is one of the potential approaches which was extendedly studied in this paper The results showed that the compressive strength of AACLWA concrete was decreased with an increase in volume and coarse size The optimum mix proportion was the AAC aggregate size of ′′ to ′′ with to replacement to normal weight aggregate Internal curing by AACLWA was also observed and found to provide sufficient water inside the specimens leading to an achievement in higher compressive strength The main goal of this study is not only utilising unwanted wastes from industry recycling of waste materials but also building up a new knowledge of using AACLWA as an internal curing agent as well as the production of valueadded lightweight concrete products 
Biodiversity of Terrestrial Ecosystems in Tropical to Temperate Australia,"During the short period of annual foliage growth in evergreen plant communities aerodynamic fluxes frictional thermal evaporative in the atmosphere as it flows over and through a plant community determine the Foliage Projective Covers and leaf attributes in overstorey and understorey strata The number of leaves produced on each vertical foliage shoot depends on available soil water and nutrients during this growth period The area of all leaves exposed to solar radiation determines net photosynthetic fixation of the plant community throughout the year In turn the species richness number of species per hectare of both plants and resident vertebrates is determined The species richness of unicellular algae and small multicellular isopods in permanent freshwater lagoons in Northern Australia may possibly have been increased by radiation released from nearby uranium deposits Evolution of new angiosperms probably occurred in refugia during periods of extreme drought When favourable climates were restored the vegetation expanded to result in high Gamma Biodiversity number of plant species per region but with each major plant community having essentially the same species richness number of plant species per hectare The probable effects of pollution and Global Warming on biodiversity in Australian ecosystems that experience seasonal drought are discussed 
"
Combustion of Biogas Released from Palm Oil Mill Effluent and the Effects of Hydrogen Enrichment on the Characteristics of the Biogas Flame,Biogas released from palm oil mill effluent POME could be a source of air pollution which has illustrated negative effects on the global warming To protect the environment from toxic emissions and use the energy of POME biogas POME is conducted to the closed digestion systems and released biogas is captured Since POME biogas upgrading is a complicated process it is not economical and thus new combustion techniques should be examined In this paper POME biogas CO and CH has been utilized as a fuel in a labscale furnace A computational approach by standard kε combustion and turbulence model is applied Hydrogen is added to the biogas components and the impacts of hydrogen enrichment on the temperature distribution flame stability and pollutant formation are studied The results confirm that adding hydrogen to the POME biogas content could improve low calorific value LCV of biogas and increases the stability of the POME biogas flame Indeed the biogas flame length rises and distribution of the temperature within the chamber is uniform when hydrogen is added to the POME biogas composition Compared to the pure biogas combustion thermal NOx formation increases in hydrogenenriched POME biogas combustion due to the enhancement of the furnace temperature
